00AR               20211111                                                                                   
0601ARA0N       20220101001270100000005000 0000000030001684   
0601ARA0N       20220101001275100000005000 0000000030001687   
0601ARA0N       20220101001280100000005000 0000000030001692   
0601ARA0N       20220101001285100000005000 0000000030001694   
0601ARA0N       20220101001290100000005000 0000000030001698   
0601ARA0N       20220101001295100000005000 0000000030001702   
0601ARA0N       20220101001300100000005000 0000000030001705   
0601ARA0N       20220101001305100000005000 0000000030001708   
0601ARA0N       20220101001310100000005000 0000000030001713   
0601ARA0N       20220101001315100000005000 0000000030001716   
0601ARA0N       20220101001320100000005000 0000000030001718   
0601ARA0N       20220101001325100000005000 0000000030001723   
0601ARA0N       20220101001330100000005000 0000000030001726   
0601ARA0N       20220101001335100000005000 0000000030001728   
0601ARA0N       20220101001340100000005000 0000000030001733   
0601ARA0N       20220101001345100000005000 0000000030001736   
0601ARA0N       20220101001350100000005000 0000000030001738   
0601ARA0N       20220101001355100000005000 0000000030001743   
0601ARA0N       20220101001360100000005000 0000000030001745   
0601ARA0N       20220101001365100000005000 0000000030001748   
0601ARA0N       20220101001370100000005000 0000000030001752   
0601ARA0N       20220101001375100000005000 0000000030001755   
0601ARA0N       20220101001380100000005000 0000000030001758   
0601ARA0N       20220101001385100000005000 0000000030001763   
0601ARA0N       20220101001390100000005000 0000000030001766   
0601ARA0N       20220101001395100000005000 0000000030001770   
0601ARA0N       20220101001400100000005000 0000000030001775   
0601ARA0N       20220101001405100000005000 0000000030001778   
0601ARA0N       20220101001410100000005000 0000000030001781   
0601ARA0N       20220101001415100000005000 0000000030001786   
0601ARA0N       20220101001420100000005000 0000000030001789   
0601ARA0N       20220101001425100000005000 0000000030001791   
0601ARA0N       20220101001430100000005000 0000000030001796   
0601ARA0N       20220101001435100000005000 0000000030001799   
0601ARA0N       20220101001440100000005000 0000000030001802   
0601ARA0N       20220101001445100000005000 0000000030001806   
0601ARA0N       20220101001450100000005000 0000000030001810   
0601ARA0N       20220101001455100000005000 0000000030001813   
0601ARA0N       20220101001460100000005000 0000000030001815   
0601ARA0N       20220101001465100000005000 0000000030001820   
0601ARA0N       20220101001470100000005000 0000000030001823   
0601ARA0N       20220101001475100000005000 0000000030001826   
0601ARA0N       20220101001480100000005000 0000000030001830   
0601ARA0N       20220101001485100000005000 0000000030001833   
0601ARA0N       20220101001490100000005000 0000000030001836   
0601ARA0N       20220101001495100000005000 0000000030001840   
0601ARA0N       20220101001500100000005000 0000000030001843   
0601ARA0N       20220101001505100000005000 0000000030001845   
0601ARA0N       20220101001510100000005000 0000000030001850   
0601ARA0N       20220101001515100000005000 0000000030001852   
0601ARA0N       20220101001520100000005000 0000000030001855   
0601ARA0N       20220101001525100000005000 0000000030001859   
0601ARA0N       20220101001530100000005000 0000000030001862   
0601ARA0N       20220101001535100000005000 0000000030001864   
0601ARA0N       20220101001540100000005000 0000000030001868   
0601ARA0N       20220101001545100000005000 0000000030001871   
0601ARA0N       20220101001550100000005000 0000000030001873   
0601ARA0N       20220101001555100000005000 0000000030001878   
0601ARA0N       20220101001560100000005000 0000000030001880   
0601ARA0N       20220101001565100000005000 0000000030001882   
0601ARA0N       20220101001570100000005000 0000000030001886   
0601ARA0N       20220101001575100000005000 0000000030001889   
0601ARA0N       20220101001580100000005000 0000000030001891   
0601ARA0N       20220101001585100000005000 0000000030001895   
0601ARA0N       20220101001590100000005000 0000000030001898   
0601ARA0N       20220101001595100000005000 0000000030001900   
0601ARA0N       20220101001600100000005000 0000000030001903   
0601ARA0N       20220101001605100000005000 0000000030001906   
0601ARA0N       20220101001610100000005000 0000000030001908   
0601ARA0N       20220101001615100000005000 0000000030001911   
0601ARA0N       20220101001620100000005000 0000000030001915   
0601ARA0N       20220101001625100000005000 0000000030001917   
0601ARA0N       20220101001630100000005000 0000000030001919   
0601ARA0N       20220101001635100000005000 0000000030001923   
0601ARA0N       20220101001640100000005000 0000000030001925   
0601ARA0N       20220101001645100000005000 0000000030001927   
0601ARA0N       20220101001650100000005000 0000000030001931   
0601ARA0N       20220101001655100000005000 0000000030001933   
0601ARA0N       20220101001660100000005000 0000000030001935   
0601ARA0N       20220101001665100000005000 0000000030001939   
0601ARA0N       20220101001670100000005000 0000000030001941   
0601ARA0N       20220101001675100000005000 0000000030001943   
0601ARA0N       20220101001680100000005000 0000000030001947   
0601ARA0N       20220101001685100000005000 0000000030001949   
0601ARA0N       20220101001690100000005000 0000000030001951   
0601ARA0N       20220101001695100000005000 0000000030001954   
0601ARA0N       20220101001700100000005000 0000000030001956   
0601ARA0N       20220101001705100000005000 0000000030001958   
0601ARA0N       20220101001710100000005000 0000000030001962   
0601ARA0N       20220101001715100000005000 0000000030001964   
0601ARA0N       20220101001720100000005000 0000000030001966   
0601ARA0N       20220101001725100000005000 0000000030001969   
0601ARA0N       20220101001730100000005000 0000000030001971   
0601ARA0N       20220101001735100000005000 0000000030001973   
0601ARA0N       20220101001740100000005000 0000000030001977   
0601ARA0N       20220101001745100000005000 0000000030001979   
0601ARA0N       20220101001750100000005000 0000000030001980   
0601ARA0N       20220101001755100000005000 0000000030001983   
0601ARA0N       20220101001760100000005000 0000000030001986   
0601ARA0N       20220101001765100000005000 0000000030001988   
0601ARA0N       20220101001770100000005000 0000000030001991   
0601ARA0N       20220101001775100000005000 0000000030001994   
0601ARA0N       20220101001780100000005000 0000000030001996   
0601ARA0N       20220101001785100000005000 0000000030001999   
0601ARA0N       20220101001790100000005000 0000000030002002   
0601ARA0N       20220101001795100000005000 0000000030002005   
0601ARA0N       20220101001800100000005000 0000000030002007   
0601ARA0N       20220101001805100000005000 0000000030002011   
0601ARA0N       20220101001810100000005000 0000000030002013   
0601ARA0N       20220101001815100000005000 0000000030002015   
0601ARA0N       20220101001820100000005000 0000000030002019   
0601ARA0N       20220101001825100000005000 0000000030002021   
0601ARA0N       20220101001830100000005000 0000000030002023   
0601ARA0N       20220101001835100000005000 0000000030002027   
0601ARA0N       20220101001840100000005000 0000000030002029   
0601ARA0N       20220101001845100000005000 0000000030002031   
0601ARA0N       20220101001850100000005000 0000000030002035   
0601ARA0N       20220101001855100000005000 0000000030002037   
0601ARA0N       20220101001860100000005000 0000000030002039   
0601ARA0N       20220101001865100000005000 0000000030002043   
0601ARA0N       20220101001870100000005000 0000000030002045   
0601ARA0N       20220101001875100000005000 0000000030002047   
