00AG               20211201                                                                                   
0601AGA0N       20220101002050100000050000 0000000020002170   
0601AGA0N       20220101002100100000050000 0000000020002190   
0601AGA0N       20220101002150100000050000 0000000020002210   
0601AGA0N       20220101002200100000050000 0000000020002230   
0601AGA0N       20220101002250100000050000 0000000020002250   
0601AGA0N       20220101002300100000050000 0000000020002280   
0601AGA0N       20220101002350100000050000 0000000020002290   
0601AGA0N       20220101002400100000050000 0000000020002310   
0601AGA0N       20220101002450100000050000 0000000020002330   
0601AGA0N       20220101002500100000050000 0000000020002350   
0601AGA0N       20220101002550100000050000 0000000020002360   
0601AGA0N       20220101002600100000050000 0000000020002380   
0601AGA0N       20220101002650100000050000 0000000020002390   
0601AGA0N       20220101002700100000050000 0000000020002410   
0601AGA0N       20220101002750100000050000 0000000020002420   
0601AGA0N       20220101002800100000050000 0000000020002440   
0601AGA0N       20220101002850100000050000 0000000020002450   
0601AGA0N       20220101002900100000050000 0000000020002460   
0601AGA0N       20220101002950100000050000 0000000020002470   
0601AGA0N       20220101003000100000500000 0000000020002530   
0601AGA0N       20220101003500100000500000 0000000020002630   
0601AGA0N       20220101004000100000500000 0000000020002710   
0601AGA0N       20220101004500100000500000 0000000020002770   
0601AGA0N       20220101005000100000500000 0000000020002820   
0601AGA0N       20220101005500100000500000 0000000020002860   
0601AGA0N       20220101006000100000500000 0000000020002890   
0601AGA0N       20220101006500100000500000 0000000020002920   
0601AGA0N       20220101007000100000500000 0000000020002940   
0601AGA0N       20220101007500100000500000 0000000020002960   
0601AGA0N       20220101008000100000500000 0000000020002970   
0601AGA0N       20220101008500100000500000 0000000020002970   
0601AGA0N       20220101009000100000500000 0000000020002980   
0601AGA0N       20220101009500100000500000 0000000020002990   
0601AGA1N       20220101000000100000025000 0100000020000000   
0601AGA1N       20220101000025100000005000 0100000020000000   
0601AGA1N       20220101000030100000005000 0100000020000000   
0601AGA1N       20220101000035100000005000 0100000020000000   
0601AGA1N       20220101000040100000005000 0100000020000000   
0601AGA1N       20220101000045100000005000 0100000020000000   
0601AGA1N       20220101000050100000005000 0100000020000000   
0601AGA1N       20220101000055100000005000 0100000020000000   
0601AGA1N       20220101000060100000005000 0100000020000000   
0601AGA1N       20220101000065100000005000 0100000020000000   
0601AGA1N       20220101000070100000005000 0100000020000000   
0601AGA1N       20220101000075100000005000 0100000020000000   
0601AGA1N       20220101000080100000005000 0100000020000000   
0601AGA1N       20220101000085100000005000 0100000020000000   
0601AGA1N       20220101000090100000005000 0100000020000000   
0601AGA1N       20220101000095100000005000 0100000020000000   
0601AGA1N       20220101000100100000005000 0100000020000000   
0601AGA1N       20220101000105100000005000 0100000020000000   
0601AGA1N       20220101000110100000005000 0100000020000000   
0601AGA1N       20220101000115100000005000 0100000020000000   
0601AGA1N       20220101000120100000005000 0100000020000000   
0601AGA1N       20220101000125100000005000 0100000020000000   
0601AGA1N       20220101000130100000005000 0100000020000000   
0601AGA1N       20220101000135100000005000 0100000020000000   
0601AGA1N       20220101000140100000005000 0100000020000000   
0601AGA1N       20220101000145100000005000 0100000020000000   
0601AGA1N       20220101000150100000005000 0100000020000000   
0601AGA1N       20220101000155100000005000 0100000020000000   
0601AGA1N       20220101000160100000005000 0100000020000000   
0601AGA1N       20220101000165100000005000 0100000020000000   
0601AGA1N       20220101000170100000005000 0100000020000000   
