00GE               20211117                                                                                   
0601GEA0N       20220101001300005000005000 0000000000002123   
0601GEA0N       20220101001305005000005000 0000000000002128   
0601GEA0N       20220101001310005000005000 0000000000002132   
0601GEA0N       20220101001315005000005000 0000000000002136   
0601GEA0N       20220101001320005000005000 0000000000002141   
0601GEA0N       20220101001325005000005000 0000000000002145   
0601GEA0N       20220101001330005000005000 0000000000002149   
0601GEA0N       20220101001335005000005000 0000000000002153   
0601GEA0N       20220101001340005000005000 0000000000002157   
0601GEA0N       20220101001345005000005000 0000000000002161   
0601GEA0N       20220101001350005000005000 0000000000002166   
0601GEA0N       20220101001355005000005000 0000000000002169   
0601GEA0N       20220101001360005000005000 0000000000002173   
0601GEA0N       20220101001365005000005000 0000000000002177   
0601GEA0N       20220101001370005000005000 0000000000002181   
0601GEA0N       20220101001375005000005000 0000000000002185   
0601GEA0N       20220101001380005000005000 0000000000002190   
0601GEA0N       20220101001385005000005000 0000000000002194   
0601GEA0N       20220101001390005000005000 0000000000002198   
0601GEA0N       20220101001395005000005000 0000000000002203   
0601GEA0N       20220101001400005000005000 0000000000002208   
0601GEA0N       20220101001405005000005000 0000000000002212   
0601GEA0N       20220101001410005000005000 0000000000002217   
0601GEA0N       20220101001415005000005000 0000000000002221   
0601GEA0N       20220101001420005000005000 0000000000002225   
0601GEA0N       20220101001425005000005000 0000000000002229   
0601GEA0N       20220101001430005000005000 0000000000002234   
0601GEA0N       20220101001435005000005000 0000000000002238   
0601GEA0N       20220101001440005000005000 0000000000002242   
0601GEA0N       20220101001445005000005000 0000000000002246   
0601GEA0N       20220101001450005000005000 0000000000002250   
0601GEA0N       20220101001455005000005000 0000000000002254   
0601GEA0N       20220101001460005000005000 0000000000002259   
0601GEA0N       20220101001465005000005000 0000000000002263   
0601GEA0N       20220101001470005000005000 0000000000002266   
0601GEA0N       20220101001475005000005000 0000000000002271   
0601GEA0N       20220101001480005000005000 0000000000002275   
0601GEA0N       20220101001485005000005000 0000000000002278   
0601GEA0N       20220101001490005000005000 0000000000002283   
0601GEA0N       20220101001495005000005000 0000000000002286   
0601GEA0N       20220101001500005000005000 0000000000002290   
0601GEA0N       20220101001505005000005000 0000000000002294   
0601GEA0N       20220101001510005000005000 0000000000002298   
0601GEA0N       20220101001515005000005000 0000000000002301   
0601GEA0N       20220101001520005000005000 0000000000002306   
0601GEA0N       20220101001525005000005000 0000000000002309   
0601GEA0N       20220101001530005000005000 0000000000002313   
0601GEA0N       20220101001535005000005000 0000000000002317   
