00AI               20211129                                                                                   
0601AIA1N       20220101000335100000005000 0100000000000329   
0601AIA1N       20220101000340100000005000 0100000000000339   
0601AIA1N       20220101000345100000005000 0100000000000351   
0601AIA1N       20220101000350100000005000 0100000000000360   
0601AIA1N       20220101000355100000005000 0100000000000372   
0601AIA1N       20220101000360100000005000 0100000000000381   
0601AIA1N       20220101000365100000005000 0100000000000389   
0601AIA1N       20220101000370100000005000 0100000000000397   
0601AIA1N       20220101000375100000005000 0100000000000408   
0601AIA1N       20220101000380100000005000 0100000000000418   
0601AIA1N       20220101000385100000005000 0100000000000426   
0601AIA1N       20220101000390100000005000 0100000000000436   
0601AIA1N       20220101000395100000005000 0100000000000445   
0601AIA1N       20220101000400100000005000 0100000000000455   
0601AIA1N       20220101000405100000005000 0100000000000461   
0601AIA1N       20220101000410100000005000 0100000000000470   
0601AIA1N       20220101000415100000005000 0100000000000479   
0601AIA1N       20220101000420100000005000 0100000000000488   
0601AIA1N       20220101000425100000005000 0100000000000496   
0601AIA1N       20220101000430100000005000 0100000000000504   
0601AIA1N       20220101000435100000005000 0100000000000512   
0601AIA1N       20220101000440100000005000 0100000000000520   
0601AIA1N       20220101000445100000005000 0100000000000530   
0601AIA1N       20220101000450100000005000 0100000000000535   
