00LU               20211201                                                                                   
0601LUA0N       20220101000965100000005000 0000000130001362   
0601LUA0N       20220101000970100000005000 0000000130001366   
0601LUA0N       20220101000975100000005000 0000000130001370   
0601LUA0N       20220101000980100000005000 0000000130001373   
0601LUA0N       20220101000985100000005000 0000000130001376   
0601LUA0N       20220101000990100000005000 0000000130001379   
0601LUA0N       20220101000995100000005000 0000000130001382   
0601LUA0N       20220101001000100000005000 0000000130001386   
0601LUA0N       20220101001005100000005000 0000000130001389   
0601LUA0N       20220101001010100000005000 0000000130001392   
0601LUA0N       20220101001015100000005000 0000000130001396   
0601LUA0N       20220101001020100000005000 0000000130001399   
0601LUA0N       20220101001025100000005000 0000000130001401   
0601LUA0N       20220101001030100000005000 0000000130001404   
0601LUA0N       20220101001035100000005000 0000000130001409   
0601LUA0N       20220101001040100000005000 0000000130001412   
0601LUA0N       20220101001045100000005000 0000000130001415   
0601LUA0N       20220101001050100000005000 0000000130001418   
0601LUA0N       20220101001055100000005000 0000000130001421   
0601LUA0N       20220101001060100000005000 0000000130001424   
0601LUA0N       20220101001065100000005000 0000000130001427   
0601LUA0N       20220101001070100000005000 0000000130001429   
0601LUA0N       20220101001075100000005000 0000000130001432   
0601LUA0N       20220101001080100000005000 0000000130001435   
0601LUA0N       20220101001085100000005000 0000000130001438   
0601LUA0N       20220101001090100000005000 0000000130001442   
0601LUA0N       20220101001095100000005000 0000000130001445   
0601LUA0N       20220101001100100000005000 0000000130001449   
0601LUA0N       20220101001105100000005000 0000000130001453   
0601LUA0N       20220101001110100000005000 0000000130001457   
0601LUA0N       20220101001115100000005000 0000000130001462   
0601LUA0N       20220101001120100000005000 0000000130001466   
0601LUA0N       20220101001125100000005000 0000000130001470   
0601LUA0N       20220101001130100000005000 0000000130001474   
0601LUA0N       20220101001135100000005000 0000000130001477   
0601LUA0N       20220101001140100000005000 0000000130001483   
0601LUA0N       20220101001145100000005000 0000000130001486   
0601LUA0N       20220101001150100000005000 0000000130001489   
0601LUA0N       20220101001155100000005000 0000000130001493   
0601LUA0N       20220101001160100000005000 0000000130001498   
0601LUA0N       20220101001165100000005000 0000000130001501   
0601LUA0N       20220101001170100000005000 0000000130001504   
0601LUA0N       20220101001175100000005000 0000000130001508   
0601LUA0N       20220101001180100000005000 0000000130001511   
0601LUA0N       20220101001185100000005000 0000000130001517   
0601LUA0N       20220101001190100000005000 0000000130001519   
