00SG               20211210                                                                                   
0601SGA0N       20220101001225100000005000 0000000050001707   
0601SGA0N       20220101001230100000005000 0000000050001712   
0601SGA0N       20220101001235100000005000 0000000050001715   
0601SGA0N       20220101001240100000005000 0000000050001718   
0601SGA0N       20220101001245100000005000 0000000050001723   
0601SGA0N       20220101001250100000005000 0000000050001726   
0601SGA0N       20220101001255100000005000 0000000050001729   
0601SGA0N       20220101001260100000005000 0000000050001734   
0601SGA0N       20220101001265100000005000 0000000050001737   
0601SGA0N       20220101001270100000005000 0000000050001740   
0601SGA0N       20220101001275100000005000 0000000050001745   
0601SGA0N       20220101001280100000005000 0000000050001748   
0601SGA0N       20220101001285100000005000 0000000050001751   
0601SGA0N       20220101001290100000005000 0000000050001755   
0601SGA0N       20220101001295100000005000 0000000050001758   
0601SGA0N       20220101001300100000005000 0000000050001761   
0601SGA0N       20220101001305100000005000 0000000050001764   
0601SGA0N       20220101001310100000005000 0000000050001769   
0601SGA0N       20220101001315100000005000 0000000050001771   
0601SGA0N       20220101001320100000005000 0000000050001774   
0601SGA0N       20220101001325100000005000 0000000050001779   
0601SGA0N       20220101001330100000005000 0000000050001781   
0601SGA0N       20220101001335100000005000 0000000050001784   
0601SGA0N       20220101001340100000005000 0000000050001788   
0601SGA0N       20220101001345100000005000 0000000050001791   
0601SGA0N       20220101001350100000005000 0000000050001793   
0601SGA0N       20220101001355100000005000 0000000050001798   
0601SGA0N       20220101001360100000005000 0000000050001800   
0601SGA0N       20220101001365100000005000 0000000050001803   
0601SGA0N       20220101001370100000005000 0000000050001807   
0601SGA0N       20220101001375100000005000 0000000050001810   
0601SGA0N       20220101001380100000005000 0000000050001813   
0601SGA0N       20220101001385100000005000 0000000050001818   
0601SGA0N       20220101001390100000005000 0000000050001821   
0601SGA0N       20220101001395100000005000 0000000050001824   
0601SGA0N       20220101001400100000005000 0000000050001829   
0601SGA0N       20220101001405100000005000 0000000050001832   
0601SGA0N       20220101001410100000005000 0000000050001835   
0601SGA0N       20220101001415100000005000 0000000050001840   
0601SGA0N       20220101001420100000005000 0000000050001843   
0601SGA0N       20220101001425100000005000 0000000050001845   
0601SGA0N       20220101001430100000005000 0000000050001850   
0601SGA0N       20220101001435100000005000 0000000050001853   
0601SGA0N       20220101001440100000005000 0000000050001856   
0601SGA0N       20220101001445100000005000 0000000050001861   
0601SGA0N       20220101001450100000005000 0000000050001863   
0601SGA0N       20220101001455100000005000 0000000050001866   
0601SGA0N       20220101001460100000005000 0000000050001869   
0601SGA0N       20220101001465100000005000 0000000050001873   
0601SGA0N       20220101001470100000005000 0000000050001876   
0601SGA0N       20220101001475100000005000 0000000050001879   
0601SGA0N       20220101001480100000005000 0000000050001883   
0601SGA0N       20220101001485100000005000 0000000050001886   
0601SGA0N       20220101001490100000005000 0000000050001889   
0601SGA0N       20220101001495100000005000 0000000050001893   
0601SGA0N       20220101001500100000005000 0000000050001896   
0601SGA0N       20220101001505100000005000 0000000050001898   
0601SGA0N       20220101001510100000005000 0000000050001903   
0601SGA0N       20220101001515100000005000 0000000050001905   
0601SGA0N       20220101001520100000005000 0000000050001908   
0601SGA0N       20220101001525100000005000 0000000050001912   
0601SGA0N       20220101001530100000005000 0000000050001914   
0601SGA0N       20220101001535100000005000 0000000050001917   
0601SGA0N       20220101001540100000005000 0000000050001921   
0601SGA0N       20220101001545100000005000 0000000050001923   
0601SGA0N       20220101001550100000005000 0000000050001926   
0601SGA0N       20220101001555100000005000 0000000050001930   
0601SGA0N       20220101001560100000005000 0000000050001932   
0601SGA0N       20220101001565100000005000 0000000050001935   
0601SGA0N       20220101001570100000005000 0000000050001939   
0601SGA0N       20220101001575100000005000 0000000050001941   
0601SGA0N       20220101001580100000005000 0000000050001943   
0601SGA0N       20220101001585100000005000 0000000050001947   
0601SGA0N       20220101001590100000005000 0000000050001950   
0601SGA0N       20220101001595100000005000 0000000050001952   
0601SGA0N       20220101001600100000005000 0000000050001954   
0601SGA0N       20220101001605100000005000 0000000050001958   
0601SGA0N       20220101001610100000005000 0000000050001960   
0601SGA0N       20220101001615100000005000 0000000050001962   
