00BL               20211111                                                                                   
0601BLA0N       20220101000935100000005000 0000000000001581   
0601BLA0N       20220101000940100000005000 0000000000001587   
0601BLA0N       20220101000945100000005000 0000000000001594   
0601BLA0N       20220101000950100000005000 0000000000001600   
0601BLA0N       20220101000955100000005000 0000000000001606   
0601BLA0N       20220101000960100000005000 0000000000001614   
0601BLA0N       20220101000965100000005000 0000000000001620   
0601BLA0N       20220101000970100000005000 0000000000001626   
0601BLA0N       20220101000975100000005000 0000000000001633   
0601BLA0N       20220101000980100000005000 0000000000001639   
0601BLA0N       20220101000985100000005000 0000000000001645   
0601BLA0N       20220101000990100000005000 0000000000001651   
0601BLA0N       20220101000995100000005000 0000000000001657   
0601BLA0N       20220101001000100000005000 0000000000001663   
0601BLA0N       20220101001005100000005000 0000000000001669   
0601BLA0N       20220101001010100000005000 0000000000001675   
0601BLA0N       20220101001015100000005000 0000000000001682   
0601BLA0N       20220101001020100000005000 0000000000001687   
0601BLA0N       20220101001025100000005000 0000000000001692   
0601BLA0N       20220101001030100000005000 0000000000001699   
0601BLA0N       20220101001035100000005000 0000000000001705   
0601BLA0N       20220101001040100000005000 0000000000001711   
0601BLA0N       20220101001045100000005000 0000000000001716   
0601BLA0N       20220101001050100000005000 0000000000001723   
0601BLA0N       20220101001055100000005000 0000000000001728   
0601BLA0N       20220101001060100000005000 0000000000001734   
0601BLA0N       20220101001065100000005000 0000000000001739   
0601BLA0N       20220101001070100000005000 0000000000001745   
0601BLA0N       20220101001075100000005000 0000000000001750   
0601BLA0N       20220101001080100000005000 0000000000001755   
0601BLA0N       20220101001085100000005000 0000000000001762   
0601BLA0N       20220101001090100000005000 0000000000001768   
0601BLA0N       20220101001095100000005000 0000000000001774   
0601BLA0N       20220101001100100000005000 0000000000001780   
0601BLA0N       20220101001105100000005000 0000000000001786   
0601BLA0N       20220101001110100000005000 0000000000001792   
0601BLA0N       20220101001115100000005000 0000000000001799   
0601BLA0N       20220101001120100000005000 0000000000001805   
0601BLA0N       20220101001125100000005000 0000000000001810   
0601BLA0N       20220101001130100000005000 0000000000001816   
0601BLA0N       20220101001135100000005000 0000000000001822   
0601BLA0N       20220101001140100000005000 0000000000001828   
0601BLA0N       20220101001145100000005000 0000000000001834   
0601BLA0N       20220101001150100000005000 0000000000001839   
0601BLA0N       20220101001155100000005000 0000000000001845   
0601BLA0N       20220101001160100000005000 0000000000001851   
0601BLA0N       20220101001165100000005000 0000000000001857   
0601BLA0N       20220101001170100000005000 0000000000001862   
0601BLA0N       20220101001175100000005000 0000000000001868   
0601BLA0N       20220101001180100000005000 0000000000001873   
0601BLA0N       20220101001185100000005000 0000000000001879   
0601BLA0N       20220101001190100000005000 0000000000001884   
0601BLA0N       20220101001195100000005000 0000000000001889   
0601BLA0N       20220101001200100000005000 0000000000001894   
0601BLA0N       20220101001205100000005000 0000000000001900   
0601BLA0N       20220101001210100000005000 0000000000001905   
0601BLA0N       20220101001215100000005000 0000000000001910   
0601BLA0N       20220101001220100000005000 0000000000001915   
0601BLA0N       20220101001225100000005000 0000000000001920   
0601BLA0N       20220101001230100000005000 0000000000001925   
0601BLA0N       20220101001235100000005000 0000000000001931   
0601BLA0N       20220101001240100000005000 0000000000001936   
0601BLA0N       20220101001245100000005000 0000000000001941   
0601BLA0N       20220101001250100000005000 0000000000001947   
0601BLA0N       20220101001255100000005000 0000000000001951   
0601BLA0N       20220101001260100000005000 0000000000001956   
0601BLA0N       20220101001265100000005000 0000000000001961   
0601BLA0N       20220101001270100000005000 0000000000001966   
0601BLA0N       20220101001275100000005000 0000000000001972   
0601BLA0N       20220101001280100000005000 0000000000001977   
0601BLA0N       20220101001285100000005000 0000000000001981   
0601BLA0N       20220101001290100000005000 0000000000001986   
0601BLA0N       20220101001295100000005000 0000000000001991   
0601BLA0N       20220101001300100000005000 0000000000001995   
0601BLA0N       20220101001305100000005000 0000000000002000   
0601BLA0N       20220101001310100000005000 0000000000002005   
0601BLA0N       20220101001315100000005000 0000000000002010   
0601BLA0N       20220101001320100000005000 0000000000002014   
0601BLA0N       20220101001325100000005000 0000000000002019   
0601BLA0N       20220101001330100000005000 0000000000002023   
0601BLA0N       20220101001335100000005000 0000000000002028   
0601BLA0N       20220101001340100000005000 0000000000002033   
0601BLA0N       20220101001345100000005000 0000000000002037   
0601BLA0N       20220101001350100000005000 0000000000002041   
0601BLA0N       20220101001355100000005000 0000000000002046   
0601BLA0N       20220101001360100000005000 0000000000002050   
0601BLA0N       20220101001365100000005000 0000000000002054   
0601BLA0N       20220101001370100000005000 0000000000002059   
0601BLA0N       20220101001375100000005000 0000000000002063   
0601BLA0N       20220101001380100000005000 0000000000002068   
0601BLA0N       20220101001385100000005000 0000000000002074   
0601BLA0N       20220101001390100000005000 0000000000002078   
0601BLA0N       20220101001395100000005000 0000000000002083   
0601BLA0N       20220101001400100000005000 0000000000002088   
0601BLA0N       20220101001405100000005000 0000000000002092   
0601BLA0N       20220101001410100000005000 0000000000002097   
0601BLA0N       20220101001415100000005000 0000000000002102   
0601BLA0N       20220101001420100000005000 0000000000002107   
0601BLA0N       20220101001425100000005000 0000000000002111   
0601BLA0N       20220101001430100000005000 0000000000002117   
0601BLA0N       20220101001435100000005000 0000000000002121   
0601BLA0N       20220101001440100000005000 0000000000002125   
0601BLA0N       20220101001445100000005000 0000000000002131   
0601BLA0N       20220101001450100000005000 0000000000002135   
0601BLA0N       20220101001455100000005000 0000000000002139   
0601BLA0N       20220101001460100000005000 0000000000002143   
0601BLA0N       20220101001465100000005000 0000000000002148   
0601BLA0N       20220101001470100000005000 0000000000002152   
0601BLA0N       20220101001475100000005000 0000000000002156   
0601BLA0N       20220101001480100000005000 0000000000002161   
0601BLA0N       20220101001485100000005000 0000000000002165   
0601BLA0N       20220101001490100000005000 0000000000002170   
0601BLA0N       20220101001495100000005000 0000000000002174   
0601BLA0N       20220101001500100000005000 0000000000002178   
0601BLA0N       20220101001505100000005000 0000000000002182   
0601BLA0N       20220101001510100000005000 0000000000002187   
0601BLA0N       20220101001515100000005000 0000000000002191   
0601BLA0N       20220101001520100000005000 0000000000002195   
0601BLA0N       20220101001525100000005000 0000000000002200   
0601BLA0N       20220101001530100000005000 0000000000002204   
0601BLA0N       20220101001535100000005000 0000000000002207   
0601BLA0N       20220101001540100000005000 0000000000002211   
0601BLA0N       20220101001545100000005000 0000000000002215   
0601BLA0N       20220101001550100000005000 0000000000002219   
0601BLA0N       20220101001555100000005000 0000000000002223   
0601BLA0N       20220101001560100000005000 0000000000002227   
0601BLA0N       20220101001565100000005000 0000000000002231   
0601BLA0N       20220101001570100000005000 0000000000002235   
0601BLA0N       20220101001575100000005000 0000000000002239   
0601BLA0N       20220101001580100000005000 0000000000002243   
0601BLA0N       20220101001585100000005000 0000000000002247   
0601BLA0N       20220101001590100000005000 0000000000002251   
0601BLA0N       20220101001595100000005000 0000000000002254   
0601BLA0N       20220101001600100000005000 0000000000002258   
0601BLA0N       20220101001605100000005000 0000000000002262   
0601BLA0N       20220101001610100000005000 0000000000002265   
0601BLA0N       20220101001615100000005000 0000000000002269   
0601BLA0N       20220101001620100000005000 0000000000002273   
0601BLA0N       20220101001625100000005000 0000000000002276   
0601BLA0N       20220101001630100000005000 0000000000002280   
0601BLA0N       20220101001635100000005000 0000000000002284   
0601BLA0N       20220101001640100000005000 0000000000002287   
0601BLA0N       20220101001645100000005000 0000000000002291   
0601BLA0N       20220101001650100000005000 0000000000002295   
0601BLA0N       20220101001655100000005000 0000000000002298   
0601BLA0N       20220101001660100000005000 0000000000002301   
0601BLA0N       20220101001665100000005000 0000000000002305   
0601BLA0N       20220101001670100000005000 0000000000002309   
0601BLA0N       20220101001675100000005000 0000000000002312   
0601BLA0N       20220101001680100000005000 0000000000002316   
0601BLA0N       20220101001685100000005000 0000000000002319   
0601BLA0N       20220101001690100000005000 0000000000002322   
0601BLA0N       20220101001695100000005000 0000000000002326   
0601BLA0N       20220101001700100000005000 0000000000002330   
0601BLA0N       20220101001705100000005000 0000000000002333   
0601BLA0N       20220101001710100000005000 0000000000002336   
0601BLA0N       20220101001715100000005000 0000000000002339   
0601BLA0N       20220101001720100000005000 0000000000002343   
0601BLA0N       20220101001725100000005000 0000000000002346   
0601BLA0N       20220101001730100000005000 0000000000002349   
0601BLA0N       20220101001735100000005000 0000000000002352   
0601BLA0N       20220101001740100000005000 0000000000002356   
0601BLA0N       20220101001745100000005000 0000000000002359   
0601BLA0N       20220101001750100000005000 0000000000002362   
0601BLA0N       20220101001755100000005000 0000000000002365   
0601BLA0N       20220101001760100000005000 0000000000002368   
0601BLA0N       20220101001765100000005000 0000000000002371   
0601BLA0N       20220101001770100000005000 0000000000002375   
0601BLA0N       20220101001775100000005000 0000000000002379   
0601BLA0N       20220101001780100000005000 0000000000002382   
0601BLA0N       20220101001785100000005000 0000000000002386   
0601BLA0N       20220101001790100000005000 0000000000002390   
0601BLA0N       20220101001795100000005000 0000000000002393   
0601BLA0N       20220101001800100000005000 0000000000002397   
0601BLA0N       20220101001805100000005000 0000000000002401   
0601BLA0N       20220101001810100000005000 0000000000002404   
0601BLA0N       20220101001815100000005000 0000000000002407   
0601BLA0N       20220101001820100000005000 0000000000002411   
0601BLA0N       20220101001825100000005000 0000000000002414   
0601BLA0N       20220101001830100000005000 0000000000002417   
0601BLA0N       20220101001835100000005000 0000000000002421   
0601BLA0N       20220101001840100000005000 0000000000002424   
0601BLA0N       20220101001845100000005000 0000000000002428   
0601BLA0N       20220101001850100000005000 0000000000002431   
0601BLA0N       20220101001855100000005000 0000000000002434   
0601BLA0N       20220101001860100000005000 0000000000002438   
