00VD               20220112                                                                                   
0601VDA0N       20220101001085100000005000 0000000000001846   
0601VDA0N       20220101001090100000005000 0000000000001851   
0601VDA0N       20220101001095100000005000 0000000000001857   
0601VDA0N       20220101001100100000005000 0000000000001863   
0601VDA0N       20220101001105100000005000 0000000000001869   
0601VDA0N       20220101001110100000005000 0000000000001874   
0601VDA0N       20220101001115100000005000 0000000000001882   
0601VDA0N       20220101001120100000005000 0000000000001888   
0601VDA0N       20220101001125100000005000 0000000000001893   
0601VDA0N       20220101001130100000005000 0000000000001898   
0601VDA0N       20220101001135100000005000 0000000000001904   
0601VDA0N       20220101001140100000005000 0000000000001912   
0601VDA0N       20220101001145100000005000 0000000000001917   
0601VDA0N       20220101001150100000005000 0000000000001922   
0601VDA0N       20220101001155100000005000 0000000000001927   
0601VDA0N       20220101001160100000005000 0000000000001934   
0601VDA0N       20220101001165100000005000 0000000000001940   
0601VDA0N       20220101001170100000005000 0000000000001945   
0601VDA0N       20220101001175100000005000 0000000000001950   
0601VDA0N       20220101001180100000005000 0000000000001955   
0601VDA0N       20220101001185100000005000 0000000000001963   
0601VDA0N       20220101001190100000005000 0000000000001967   
0601VDA0N       20220101001195100000005000 0000000000001972   
0601VDA0N       20220101001200100000005000 0000000000001976   
0601VDA0N       20220101001205100000005000 0000000000001984   
0601VDA0N       20220101001210100000005000 0000000000001989   
0601VDA0N       20220101001215100000005000 0000000000001993   
0601VDA0N       20220101001220100000005000 0000000000001997   
0601VDA0N       20220101001225100000005000 0000000000002002   
0601VDA0N       20220101001230100000005000 0000000000002009   
0601VDA0N       20220101001235100000005000 0000000000002014   
0601VDA0N       20220101001240100000005000 0000000000002018   
0601VDA0N       20220101001245100000005000 0000000000002025   
0601VDA0N       20220101001250100000005000 0000000000002029   
0601VDA0N       20220101001255100000005000 0000000000002034   
0601VDA0N       20220101001260100000005000 0000000000002041   
0601VDA0N       20220101001265100000005000 0000000000002044   
0601VDA0N       20220101001270100000005000 0000000000002049   
0601VDA0N       20220101001275100000005000 0000000000002055   
0601VDA0N       20220101001280100000005000 0000000000002060   
0601VDA0N       20220101001285100000005000 0000000000002063   
0601VDA0N       20220101001290100000005000 0000000000002069   
0601VDA0N       20220101001295100000005000 0000000000002074   
0601VDA0N       20220101001300100000005000 0000000000002078   
0601VDA0N       20220101001305100000005000 0000000000002082   
0601VDA0N       20220101001310100000005000 0000000000002088   
0601VDA0N       20220101001315100000005000 0000000000002092   
